experience_years,age,projects_completed,training_hours,salary_lakh,experience_score,project_experience_ratio
7.4,23.0,1.0,43.0,5.0,0.37,0.11904761904761904
17.7,50.0,3.0,48.0,20.3,0.885,0.16042780748663102
6.8,30.0,3.0,72.0,11.4,0.33999999999999997,0.38461538461538464
3.5,39.0,11.0,38.0,6.3,0.175,2.4444444444444446
7.3,30.0,3.0,13.0,12.9,0.365,0.36144578313253006
8.8,48.0,17.0,26.0,14.0,0.44000000000000006,1.7346938775510203
10.1,55.0,0.0,54.0,11.1,0.505,0.0
12.3,55.0,20.0,3.0,18.7,0.615,1.5037593984962405
11.3,34.0,10.0,37.0,14.8,0.5650000000000001,0.8130081300813008
17.3,28.0,10.0,79.0,17.7,0.865,0.5464480874316939
9.9,39.0,6.0,57.0,12.9,0.495,0.5504587155963303
1.1,49.0,2.0,55.0,6.4,0.05500000000000001,0.9523809523809523
18.4,44.0,16.0,51.0,19.8,0.9199999999999999,0.8247422680412372
6.2,51.0,4.0,17.0,8.4,0.31,0.5555555555555556
13.8,23.0,6.0,16.0,16.0,0.6900000000000001,0.4054054054054054
11.7,34.0,17.0,11.0,12.3,0.585,1.3385826771653544
2.0,22.0,18.0,59.0,9.6,0.1,6.0
8.0,47.0,1.0,13.0,12.7,0.4,0.1111111111111111
11.7,24.0,10.0,78.0,15.4,0.585,0.7874015748031497
9.5,29.0,14.0,69.0,15.9,0.475,1.3333333333333333
6.4,30.0,4.0,68.0,10.6,0.32,0.5405405405405405
5.5,48.0,3.0,41.0,10.8,0.275,0.46153846153846156
15.8,24.0,4.0,37.0,17.9,0.79,0.23809523809523808
3.9,48.0,4.0,40.0,5.1,0.195,0.8163265306122448
7.9,25.0,10.0,43.0,12.2,0.395,1.1235955056179774
13.8,35.0,2.0,25.0,11.8,0.6900000000000001,0.13513513513513511
11.5,51.0,20.0,27.0,16.8,0.575,1.6
16.6,21.0,5.0,77.0,17.2,0.8300000000000001,0.28409090909090906
14.0,39.0,19.0,26.0,17.9,0.7,1.2666666666666666
16.1,23.0,19.0,27.0,20.8,0.805,1.111111111111111
14.8,45.0,7.0,91.0,14.9,0.74,0.4430379746835443
1.7,34.0,6.0,51.0,5.8,0.08499999999999999,2.222222222222222
1.9,30.0,10.0,10.0,6.8,0.095,3.4482758620689657
14.1,59.0,18.0,19.0,16.0,0.705,1.1920529801324504
5.6,37.0,10.0,100.0,8.6,0.27999999999999997,1.5151515151515151
16.5,34.0,4.0,83.0,18.5,0.825,0.22857142857142856
12.9,48.0,10.0,77.0,13.9,0.645,0.7194244604316546
14.8,46.0,20.0,5.0,15.7,0.74,1.2658227848101264
18.2,40.0,10.0,66.0,22.7,0.9099999999999999,0.5208333333333334
14.8,35.0,19.0,18.0,19.4,0.74,1.2025316455696202
5.1,56.0,2.0,93.0,6.6,0.255,0.3278688524590164
1.1,36.0,3.0,31.0,6.1,0.05500000000000001,1.4285714285714286
14.9,51.0,19.0,28.0,17.4,0.745,1.1949685534591195
10.5,46.0,10.0,5.0,12.4,0.525,0.8695652173913043
3.3,52.0,11.0,91.0,9.1,0.16499999999999998,2.558139534883721
3.6,46.0,1.0,6.0,8.7,0.18,0.2173913043478261
2.1,60.0,3.0,100.0,5.6,0.10500000000000001,0.9677419354838709
4.7,21.0,7.0,71.0,10.6,0.23500000000000001,1.2280701754385965
8.3,37.0,20.0,10.0,10.6,0.41500000000000004,2.150537634408602
0.1,55.0,20.0,68.0,11.4,0.005,18.18181818181818
18.7,44.0,11.0,8.0,17.4,0.9349999999999999,0.5583756345177665
6.8,39.0,3.0,27.0,7.4,0.33999999999999997,0.38461538461538464
9.9,41.0,19.0,60.0,19.0,0.495,1.7431192660550459
6.3,51.0,4.0,81.0,11.2,0.315,0.547945205479452
11.4,56.0,8.0,2.0,12.1,0.5700000000000001,0.6451612903225806
11.2,44.0,16.0,49.0,16.8,0.5599999999999999,1.3114754098360657
3.5,27.0,1.0,83.0,9.7,0.175,0.2222222222222222
5.6,40.0,19.0,87.0,11.9,0.27999999999999997,2.878787878787879
2.6,35.0,20.0,10.0,7.6,0.13,5.555555555555555
5.7,31.0,15.0,20.0,9.8,0.28500000000000003,2.2388059701492535
5.9,52.0,3.0,97.0,12.3,0.29500000000000004,0.43478260869565216
6.3,53.0,3.0,40.0,9.5,0.315,0.4109589041095891
1.7,33.0,15.0,42.0,8.0,0.08499999999999999,5.555555555555555
8.6,43.0,0.0,68.0,13.3,0.43,0.0
0.0,52.0,19.0,48.0,8.4,0.0,19.0
14.0,37.0,9.0,71.0,19.0,0.7,0.6
15.6,42.0,16.0,85.0,20.2,0.78,0.9638554216867469
5.8,28.0,18.0,51.0,12.3,0.29,2.6470588235294117
11.5,31.0,13.0,2.0,12.8,0.575,1.04
8.2,46.0,8.0,68.0,11.6,0.41,0.8695652173913044
17.0,58.0,10.0,88.0,19.0,0.85,0.5555555555555556
10.2,22.0,10.0,51.0,14.4,0.51,0.8928571428571429
3.5,27.0,16.0,7.0,8.7,0.175,3.5555555555555554
10.5,39.0,2.0,9.0,14.1,0.525,0.17391304347826086
5.2,59.0,11.0,18.0,11.2,0.26,1.7741935483870968
9.1,34.0,5.0,0.0,9.3,0.45499999999999996,0.49504950495049505
8.1,51.0,18.0,60.0,14.7,0.40499999999999997,1.978021978021978
15.8,27.0,18.0,49.0,17.1,0.79,1.0714285714285714
9.2,56.0,1.0,29.0,11.4,0.45999999999999996,0.09803921568627452
18.2,60.0,12.0,68.0,23.2,0.9099999999999999,0.625
18.4,54.0,19.0,9.0,21.9,0.9199999999999999,0.9793814432989691
10.9,51.0,17.0,57.0,20.1,0.545,1.4285714285714286
11.0,27.0,17.0,10.0,16.2,0.55,1.4166666666666667
5.1,43.0,10.0,70.0,9.0,0.255,1.639344262295082
3.9,41.0,2.0,29.0,4.8,0.195,0.4081632653061224
3.9,21.0,14.0,5.0,5.7,0.195,2.8571428571428568
2.0,41.0,15.0,67.0,10.9,0.1,5.0
